state,usa_ranking,total_spending_pc,instruction_spending_pc,support_services_spending_pc
Alabama,49,"9,236.00","5,257.00","3,321.00"
Alaska,47,"17,510.00","9,449.00","7,427.00"
Arizona,44,"7,613.00","4,077.00","3,105.00"
Arkansas,40,"9,846.00","5,539.00","3,762.00"
California,37,"11,495.00","6,849.00","4,191.00"
Colorado,14,"9,575.00","5,423.00","3,785.00"
Connecticut,5,"18,958.00","11,656.00","6,621.00"
Delaware,24,"14,713.00","9,191.00","4,852.00"
Florida,27,"8,920.00","5,478.00","2,984.00"
Georgia,31,"9,769.00","5,975.00","3,216.00"
Hawaii,30,"13,748.00","8,066.00","4,953.00"
Idaho,26,"7,157.00","4,262.00","2,508.00"
Illinois,7,"14,180.00","8,636.00","5,134.00"
Indiana,6,"9,856.00","5,706.00","3,653.00"
Iowa,13,"11,150.00","6,787.00","3,894.00"
Kansas,15,"9,960.00","6,063.00","3,401.00"
Kentucky,32,"9,863.00","5,708.00","3,533.00"
Louisiana,46,"11,038.00","6,199.00","4,222.00"
Maine,17,"13,278.00","7,587.00","5,216.00"
Maryland,11,"14,206.00","8,848.00","4,935.00"
Massachusetts,1,"15,593.00","9,713.00","5,396.00"
Michigan,29,"11,668.00","6,823.00","4,416.00"
Minnesota,12,"12,382.00","8,074.00","3,719.00"
Mississippi,45,"8,702.00","4,951.00","3,190.00"
Missouri,21,"10,313.00","6,156.00","3,700.00"
Montana,20,"11,348.00","6,701.00","4,125.00"
Nebraska,9,"12,299.00","8,008.00","3,642.00"
Nevada,48,"8,960.00","5,183.00","3,409.00"
New Hampshire,3,"15,340.00","9,610.00","5,341.00"
New Jersey,2,"18,402.00","10,716.00","6,999.00"
New Mexico,50,"9,693.00","5,418.00","3,789.00"
New York,25,"22,366.00","15,746.00","6,130.00"
North Carolina,28,"8,792.00","5,513.00","2,806.00"
North Dakota,35,"13,373.00","8,005.00","4,380.00"
Ohio,18,"12,102.00","7,071.00","4,613.00"
Oklahoma,43,"8,097.00","4,528.00","2,989.00"
Oregon,39,"10,842.00","6,327.00","4,123.00"
Pennsylvania,10,"15,418.00","9,446.00","5,383.00"
Rhode Island,36,"15,532.00","9,035.00","6,065.00"
South Carolina,41,"10,249.00","5,629.00","4,054.00"
South Dakota,23,"9,176.00","5,360.00","3,287.00"
Tennessee,38,"8,810.00","5,406.00","2,917.00"
Texas,33,"9,016.00","5,514.00","3,002.00"
Utah,22,"6,953.00","4,467.00","2,098.00"
Vermont,4,"17,873.00","10,720.00","6,629.00"
Virginia,8,"11,432.00","6,966.00","4,024.00"
Washington,19,"11,534.00","6,538.00","4,525.00"
West Virginia,42,"11,291.00","6,507.00","4,073.00"
Wisconsin,16,"11,456.00","6,697.00","4,304.00"
Wyoming,34,"16,442.00","9,750.00","6,197.00"
