state,usa_ranking,total_spending_pc,instruction_spending_pc,support_services_spending_pc,Population
Alabama,49.00,"9,236.00","5,257.00","3,321.00","4,903,185.00"
Alaska,47.00,"17,510.00","9,449.00","7,427.00","731,545.00"
Arizona,44.00,"7,613.00","4,077.00","3,105.00","7,278,717.00"
Arkansas,40.00,"9,846.00","5,539.00","3,762.00","3,017,804.00"
California,37.00,"11,495.00","6,849.00","4,191.00","39,512,223.00"
Colorado,14.00,"9,575.00","5,423.00","3,785.00","5,758,736.00"
Connecticut,5.00,"18,958.00","11,656.00","6,621.00","3,565,287.00"
Delaware,24.00,"14,713.00","9,191.00","4,852.00","973,764.00"
Florida,27.00,"8,920.00","5,478.00","2,984.00","21,477,737.00"
Georgia,31.00,"9,769.00","5,975.00","3,216.00","10,617,423.00"
Hawaii,30.00,"13,748.00","8,066.00","4,953.00","1,415,872.00"
Idaho,26.00,"7,157.00","4,262.00","2,508.00","1,787,065.00"
Illinois,7.00,"14,180.00","8,636.00","5,134.00","12,671,821.00"
Indiana,6.00,"9,856.00","5,706.00","3,653.00","6,732,219.00"
Iowa,13.00,"11,150.00","6,787.00","3,894.00","3,155,070.00"
Kansas,15.00,"9,960.00","6,063.00","3,401.00","2,913,314.00"
Kentucky,32.00,"9,863.00","5,708.00","3,533.00","4,467,673.00"
Louisiana,46.00,"11,038.00","6,199.00","4,222.00","4,648,794.00"
Maine,17.00,"13,278.00","7,587.00","5,216.00","1,344,212.00"
Maryland,11.00,"14,206.00","8,848.00","4,935.00","6,045,680.00"
Massachusetts,1.00,"15,593.00","9,713.00","5,396.00","6,892,503.00"
Michigan,29.00,"11,668.00","6,823.00","4,416.00","9,986,857.00"
Minnesota,12.00,"12,382.00","8,074.00","3,719.00","5,639,632.00"
Mississippi,45.00,"8,702.00","4,951.00","3,190.00","2,976,149.00"
Missouri,21.00,"10,313.00","6,156.00","3,700.00","6,137,428.00"
Montana,20.00,"11,348.00","6,701.00","4,125.00","1,068,778.00"
Nebraska,9.00,"12,299.00","8,008.00","3,642.00","1,934,408.00"
Nevada,48.00,"8,960.00","5,183.00","3,409.00","3,080,156.00"
New Hampshire,3.00,"15,340.00","9,610.00","5,341.00","1,359,711.00"
New Jersey,2.00,"18,402.00","10,716.00","6,999.00","8,882,190.00"
New Mexico,50.00,"9,693.00","5,418.00","3,789.00","2,096,829.00"
New York,25.00,"22,366.00","15,746.00","6,130.00","19,453,561.00"
North Carolina,28.00,"8,792.00","5,513.00","2,806.00","10,488,084.00"
North Dakota,35.00,"13,373.00","8,005.00","4,380.00","762,062.00"
Ohio,18.00,"12,102.00","7,071.00","4,613.00","11,689,100.00"
Oklahoma,43.00,"8,097.00","4,528.00","2,989.00","3,956,971.00"
Oregon,39.00,"10,842.00","6,327.00","4,123.00","4,217,737.00"
Pennsylvania,10.00,"15,418.00","9,446.00","5,383.00","12,801,989.00"
Rhode Island,36.00,"15,532.00","9,035.00","6,065.00","1,059,361.00"
South Carolina,41.00,"10,249.00","5,629.00","4,054.00","5,148,714.00"
South Dakota,23.00,"9,176.00","5,360.00","3,287.00","884,659.00"
Tennessee,38.00,"8,810.00","5,406.00","2,917.00","6,829,174.00"
Texas,33.00,"9,016.00","5,514.00","3,002.00","28,995,881.00"
Utah,22.00,"6,953.00","4,467.00","2,098.00","3,205,958.00"
Vermont,4.00,"17,873.00","10,720.00","6,629.00","623,989.00"
Virginia,8.00,"11,432.00","6,966.00","4,024.00","8,535,519.00"
Washington,19.00,"11,534.00","6,538.00","4,525.00","7,614,893.00"
West Virginia,42.00,"11,291.00","6,507.00","4,073.00","1,792,147.00"
Wisconsin,16.00,"11,456.00","6,697.00","4,304.00","5,822,434.00"
Wyoming,34.00,"16,442.00","9,750.00","6,197.00","578,759.00"
