state,total_spending_pc,population,gdp_pc,spm_pv_rate,naep_math_4,naep_math8,naep_reading4,naep_reading8,spm_child_poverty_rate
Alabama,9236,4903185,45219,13.5,230,269,219,257,17
Alaska,17510,731545,73205,12.5,232,274,209,261,15.2
Arizona,7613,7278717,48055,18.8,238,280,213,260,14.8
Arkansas,9846,3017804,42454,16.5,233,274,219,262,13.9
California,11495,39512223,74205,23.8,235,276,213,262,20.8
Colorado,9575,5758736,63882,13.7,242,285,227,271,10.5
Connecticut,18958,3565287,76342,12.5,243,286,230,274,16.1
Delaware,14713,973764,77253,13.9,239,277,226,266,10.9
Florida,8920,21477737,48318,19.5,246,279,227,266,19.6
Georgia,9769,10617423,55832,18.2,238,279,222,265,17
Hawaii,13748,1415872,64096,17.3,239,275,215,260,16.1
Idaho,7157,1787065,43430,11.6,242,286,219,270,7.6
Illinois,14180,12671821,67268,15.2,237,283,219,267,14.1
Indiana,9856,6732219,55172,14.2,245,286,225,267,12.4
Iowa,11150,3155070,59977,8.6,241,282,224,269,7.4
Kansas,9960,2913314,56334,11.5,239,282,223,267,7.8
Kentucky,9863,4467673,46898,13.6,239,278,224,270,11.6
Louisiana,11038,4648794,53589,18.5,231,272,210,257,20
Maine,13278,1344212,47969,11.2,241,282,225,269,11
Maryland,14206,6045680,68573,13.4,239,280,232,274,12.4
Massachusetts,15593,6892503,82480,13.8,247,294,232,277,11.7
Michigan,11668,9986857,53209,13.5,236,280,217,266,10.9
Minnesota,12382,5639632,64675,9.7,248,291,227,271,6.3
Mississippi,8702,2976149,37948,16.1,241,274,209,253,16.8
Missouri,10313,6137428,51699,12.4,238,281,222,267,11.3
Montana,11348,1068778,46609,12.1,241,284,223,272,9.6
Nebraska,12299,1934408,63942,9.8,244,285,223,269,10.1
Nevada,8960,3080156,55269,19.8,236,274,214,262,13.4
New Hampshire,15340,1359711,63067,10.2,245,287,232,274,8.7
New Jersey,18402,8882190,69378,15.5,246,292,229,276,15.1
New Mexico,9693,2096829,46954,16.1,231,269,206,256,13.8
New York,22366,19453561,85746,18.1,237,280,224,266,16.3
North Carolina,8792,10488084,54441,14.2,241,284,222,265,15.3
North Dakota,13373,762062,72597,9.2,243,286,224,268,11.3
Ohio,12102,11689100,57492,13.2,241,286,224,269,11.9
Oklahoma,8097,3956971,50613,13.4,237,276,217,262,11.5
Oregon,10842,4217737,56956,13.9,236,280,219,268,12.7
Pennsylvania,15418,12801989,61594,12.6,244,285,226,272,14
Rhode Island,15532,1059361,57852,13.6,239,276,223,267,9.5
South Carolina,10249,5148714,45280,15.8,237,276,214,261,15.2
South Dakota,9176,884659,58624,10.6,241,287,218,268,10.3
Tennessee,8810,6829174,53933,15.5,240,280,220,265,13.3
Texas,9016,28995881,61167,16.4,244,280,217,264,16.2
Utah,6953,3205958,55550,11.6,244,285,223,270,8.2
Vermont,17873,623989,53523,10.1,239,287,228,274,10.4
Virginia,11432,8535519,62563,13.3,247,287,229,268,14.9
Washington,11534,7614893,74182,12.2,240,286,225,272,10.9
West Virginia,11291,1792147,43053,12.9,231,272,215,257,16
Wisconsin,11456,5822434,57720,10.8,242,289,221,268,8.1
Wyoming,16442,578759,69900,9.2,246,286,226,271,10.1
